model_family,optimizer,run_id,learning_rate,trailing_training_loss,validation_contrastive_loss,validation_positive_margin,full_corpus_mean_ndcg_at_10
dense,adamw,adamw-lr1e-5,1e-05,0.3068313813209534,1.2733916130050602,0.005346536636352539,0.5881114285714286
dense,adamw,adamw-lr1e-6,1e-06,0.5428408765792847,1.451708227438985,-0.0011703968048095703,0.5649735714285714
dense,adamw,adamw-lr3e-5,3e-05,0.2572331738471985,1.2285124746322253,0.007457733154296875,0.5898671428571428
dense,adamw,adamw-lr3e-6,3e-06,0.3975953412055969,1.3092319696024788,0.0035517215728759766,0.5834128571428572
dense,muon,muon-lr1e-3,0.001,0.2464103889465332,1.0353583259540642,0.014974594116210938,0.58915
dense,muon,muon-lr1e-4,0.0001,0.29984444856643677,1.2151169053113335,0.007357120513916016,0.5910671428571429
dense,muon,muon-lr3e-3,0.003,0.3670259761810303,0.7657533268286691,0.03001689910888672,0.560775
dense,muon,muon-lr3e-4,0.0003,0.24604958295822144,1.1353146142012065,0.010791540145874023,0.5923092857142858
dense,normuon,normuon-lr1e-3,0.001,0.24268772363662722,1.0464214004363726,0.014345645904541016,0.5909621428571429
dense,normuon,normuon-lr1e-4,0.0001,0.3052745771408081,1.2148900533832148,0.007394552230834961,0.5909785714285715
dense,normuon,normuon-lr3e-3,0.003,0.35507649898529053,0.7261481215106116,0.03057098388671875,0.5633857142857143
dense,normuon,normuon-lr3e-4,0.0003,0.24826036930084228,1.1529624299375882,0.010173320770263672,0.5934292857142858
