model_family,optimizer,learning_rate,run_id,stage,fraction,checkpoint_step,observed_step,window_start_step,window_observations,mean_loss,loss_standard_deviation,median_grad_norm,end_learning_rate,end_epoch
dense,muon,0.0001,muon-lr1e-4,1,0.2,782,780,690,10,0.4342639875411987,0.011607147006688728,0.8894191980361938,8.896473265073949e-05,0.19968
dense,muon,0.0001,muon-lr1e-4,2,0.4,1563,1560,1470,10,0.34961589574813845,0.009605468785010864,0.8038949966430664,6.678043230944255e-05,0.39936
dense,muon,0.0001,muon-lr1e-4,3,0.6,2345,2340,2250,10,0.31715381383895874,0.01628492787686191,0.7622844576835632,4.4596131968145624e-05,0.59904
dense,muon,0.0001,muon-lr1e-4,4,0.8,3126,3120,3030,10,0.2903654217720032,0.020860593838288234,0.7263204753398895,2.2411831626848694e-05,0.79872
dense,muon,0.0001,muon-lr1e-4,5,1.0,3907,3900,3810,10,0.29984444856643677,0.019181508631461792,0.7078780829906464,2.2753128555176338e-07,0.9984
dense,muon,0.0003,muon-lr3e-4,1,0.2,782,780,690,10,0.3388431763648987,0.013159242875801674,0.7598835825920105,0.0002668941979522184,0.19968
dense,muon,0.0003,muon-lr3e-4,2,0.4,1563,1560,1470,10,0.28729246139526365,0.011646149557000033,0.6966418027877808,0.00020034129692832764,0.39936
dense,muon,0.0003,muon-lr3e-4,3,0.6,2345,2340,2250,10,0.26514577865600586,0.016082906492830937,0.6766749918460846,0.00013378839590443684,0.59904
dense,muon,0.0003,muon-lr3e-4,4,0.8,3126,3120,3030,10,0.23670892477035524,0.017728473228374755,0.6359519362449646,6.723549488054606e-05,0.79872
dense,muon,0.0003,muon-lr3e-4,5,1.0,3907,3900,3810,10,0.24604958295822144,0.018546298262341856,0.6210119426250458,6.8259385665529e-07,0.9984
dense,muon,0.001,muon-lr1e-3,1,0.2,782,780,690,10,0.3558432936668396,0.01849609726681779,0.6804797947406769,0.0008896473265073947,0.19968
dense,muon,0.001,muon-lr1e-3,2,0.4,1563,1560,1470,10,0.3231599116325378,0.019262622721908006,0.6344665288925171,0.0006678043230944255,0.39936
dense,muon,0.001,muon-lr1e-3,3,0.6,2345,2340,2250,10,0.2873372006416321,0.013219126162699409,0.6178793609142303,0.0004459613196814562,0.59904
dense,muon,0.001,muon-lr1e-3,4,0.8,3126,3120,3030,10,0.2462471079826355,0.018340229881346915,0.6004792749881744,0.00022411831626848692,0.79872
dense,muon,0.001,muon-lr1e-3,5,1.0,3907,3900,3810,10,0.2464103889465332,0.01582915870741914,0.5292640030384064,2.2753128555176335e-06,0.9984
dense,muon,0.003,muon-lr3e-3,1,0.2,782,780,690,10,0.6087094736099243,0.020946973462818895,0.7137297689914703,0.0026689419795221845,0.19968
dense,muon,0.003,muon-lr3e-3,2,0.4,1563,1560,1470,10,0.5675131607055663,0.02850518385709816,0.6421042382717133,0.0020034129692832765,0.39936
dense,muon,0.003,muon-lr3e-3,3,0.6,2345,2340,2250,10,0.4914026069641113,0.01706553194056772,0.5773651003837585,0.0013378839590443687,0.59904
dense,muon,0.003,muon-lr3e-3,4,0.8,3126,3120,3030,10,0.40405524969100953,0.02582360704393495,0.5838266611099243,0.0006723549488054607,0.79872
dense,muon,0.003,muon-lr3e-3,5,1.0,3907,3900,3810,10,0.3670259761810303,0.015531836716556535,0.550643116235733,6.8259385665529e-06,0.9984
dense,adamw,1e-06,adamw-lr1e-6,1,0.2,782,780,690,10,0.7871864128112793,0.02716560595811531,1.513141393661499,8.896473265073947e-07,0.19968
