model_family,optimizer,learning_rate,run_id,stage,step,hidden_tensors,hidden_parameters,weight_frobenius_norm,reference_displacement_frobenius_norm,previous_checkpoint_displacement_frobenius_norm,reference_displacement_to_weight_ratio,weight_row_cv_parameter_weighted,reference_delta_row_cv_parameter_weighted,weight_top_1pct_row_energy_parameter_weighted,reference_delta_top_1pct_row_energy_parameter_weighted
dense,adamw,1e-06,adamw-lr1e-6,1,782,88,110297088,1196.2413153307757,0.6953464637466215,,0.0005812760810341595,0.17899529015356525,0.2811589263738158,0.028172726618414894,0.04223943991277785
dense,adamw,1e-06,adamw-lr1e-6,2,1563,88,110297088,1196.2390821083811,1.1317485558220879,0.5225451926756797,0.0009460889321784838,0.17899643522214126,0.3014830973616896,0.02817316933530059,0.04769037480660301
dense,adamw,1e-06,adamw-lr1e-6,3,2345,88,110297088,1196.2377507621027,1.3769759817611105,0.32184783543490275,0.0011510888875425162,0.178997225571364,0.31067164039069955,0.028173477911853536,0.05042420567217517
dense,adamw,1e-06,adamw-lr1e-6,4,3126,88,110297088,1196.2369830241573,1.5060368060874993,0.1802307537255287,0.001258978636724765,0.17899769954981012,0.3159366682729619,0.02817366069013422,0.05192830395650736
dense,adamw,1e-06,adamw-lr1e-6,5,3907,88,110297088,1196.2367662754205,1.5462053984489819,0.060905733797561035,0.0012925579969116122,0.1789978321960425,0.3176916750835225,0.028173704367668872,0.05237674168286158
dense,adamw,3e-06,adamw-lr3e-6,1,782,88,110297088,1196.237693683108,1.5388128659672298,,0.0012863771757846583,0.178997522747931,0.25489319008301925,0.028173557532463162,0.04293646462221834
dense,adamw,3e-06,adamw-lr3e-6,2,1563,88,110297088,1196.2343378466128,2.2617739822869685,1.046189382282225,0.0018907449073552547,0.17900002342374885,0.2669860412451354,0.028174555053645595,0.046985373916951095
dense,adamw,3e-06,adamw-lr3e-6,3,2345,88,110297088,1196.2324198011365,2.6043177993419673,0.6289639501009432,0.002177100165680941,0.17900168844922024,0.2675006137612988,0.028175163366657527,0.047622545079432706
dense,adamw,3e-06,adamw-lr3e-6,4,3126,88,110297088,1196.2316405060167,2.77483711855484,0.3631981432875769,0.0023196486571623025,0.17900257702060243,0.26709505180544396,0.028175486630217277,0.04766761660974293
dense,adamw,3e-06,adamw-lr3e-6,5,3907,88,110297088,1196.23133274414,2.8279818437811852,0.1323854310068195,0.002364076049817078,0.1790028975549388,0.2673555938676398,0.028175585908207665,0.047711376658576055
dense,adamw,1e-05,adamw-lr1e-5,1,782,88,110297088,1196.1682510803132,3.2895260261397934,,0.0027500529487961872,0.17900203748103133,0.1886608868857278,0.0281753700206624,0.03519853325759902
dense,adamw,1e-05,adamw-lr1e-5,2,1563,88,110297088,1196.0847377560167,4.502507839965603,2.3586588048657826,0.0037643719527872175,0.17900743802640845,0.17306050817596721,0.028177497749102307,0.03272283005025138
dense,adamw,1e-05,adamw-lr1e-5,3,2345,88,110297088,1196.0159385433587,5.0949285547724035,1.6117535125402367,0.0042599169380448006,0.17901073357359293,0.16695925123232572,0.0281785278018305,0.03165450504916237
dense,adamw,1e-05,adamw-lr1e-5,4,3126,88,110297088,1196.0016899633931,5.375623633224142,0.9895010529650043,0.004494662238636701,0.1790124604548203,0.16600731944535824,0.028179048301582348,0.031516559511662164
dense,adamw,1e-05,adamw-lr1e-5,5,3907,88,110297088,1196.001275531062,5.453681584268393,0.3756683743103209,0.004559929571853331,0.17901325861320777,0.16647423794841704,0.0281792583471951,0.03158732718304995
