model_family,optimizer,learning_rate,run_id,checkpoints,final_step,final_reference_displacement_frobenius_norm,coarse_checkpoint_path_length,coarse_checkpoint_path_efficiency
dense,adamw,1e-06,adamw-lr1e-6,5,3907,1.5462053984489819,1.7808759793802937,0.8682274433209144
dense,adamw,3e-06,adamw-lr3e-6,5,3907,2.8279818437811852,3.709549772644795,0.7623517723459258
dense,adamw,1e-05,adamw-lr1e-5,5,3907,5.453681584268393,8.625107770821137,0.6323030075888764
dense,adamw,3e-05,adamw-lr3e-5,5,3907,11.47092216641425,21.11595292896585,0.5432348805191258
dense,muon,0.0001,muon-lr1e-4,5,3907,8.78594540658392,14.717884393077348,0.5969570878486072
dense,muon,0.0003,muon-lr3e-4,5,3907,22.377398140504052,41.1068379951238,0.5443716722545898
dense,muon,0.001,muon-lr1e-3,5,3907,67.66152058869916,131.51925917511676,0.5144609315249292
dense,muon,0.003,muon-lr3e-3,5,3907,192.8405742155307,384.1301695615556,0.5020188193904114
dense,normuon,0.0001,normuon-lr1e-4,5,3907,8.79275890675097,14.685862737516958,0.59872266709185
dense,normuon,0.0003,normuon-lr3e-4,5,3907,22.41529996781682,41.03416930876768,0.5462593820079451
dense,normuon,0.001,normuon-lr1e-3,5,3907,67.92396441081374,131.45514480241,0.5167083001042685
dense,normuon,0.003,normuon-lr3e-3,5,3907,192.96933155382465,383.5937934250586,0.503056448934762
late,adamw,1e-06,adamw-lr1e-6,5,3907,1.5617686910546513,1.737963160600041,0.8986201356048551
late,adamw,3e-06,adamw-lr3e-6,5,3907,2.84117175472982,3.5827490400530175,0.7930144486725692
late,adamw,1e-05,adamw-lr1e-5,5,3907,5.514847982724048,8.429169823387616,0.6542575482845919
late,adamw,3e-05,adamw-lr3e-5,5,3907,11.593518638178233,20.994914512423563,0.5522060416734665
late,muon,0.0001,muon-lr1e-4,5,3907,9.1281804024843,14.997543759798853,0.6086450253909262
late,muon,0.0003,muon-lr3e-4,5,3907,22.95379809304053,41.73404403380278,0.5500017701243843
late,muon,0.001,muon-lr1e-3,5,3907,68.78406796977958,132.82842232369367,0.5178414887903853
late,muon,0.003,muon-lr3e-3,5,3907,194.4410872144229,386.46771256304544,0.5031237562509268
late,normuon,0.0001,normuon-lr1e-4,5,3907,9.153441726288282,14.972500968688395,0.6113502176710917
late,normuon,0.0003,normuon-lr3e-4,5,3907,23.002433356617175,41.666375654168945,0.5520622563271989
late,normuon,0.001,normuon-lr1e-3,5,3907,68.93006620963648,132.69322392351486,0.5194693758391775
late,normuon,0.003,normuon-lr3e-3,5,3907,194.66693073045366,385.88630602676085,0.5044670611269468
