family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,tensor,rows,columns,rank,frobenius_norm,spectral_norm,stable_rank,nuclear_norm,entropy_effective_rank,condition_number
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,adamw,0.layers.0.attn.Wqkv.weight,2304,768,768,81.93971252441406,17.820934295654297,21.141117095947266,1621.277587890625,550.2957153320312,65.07817077636719
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,adamw,0.layers.0.mlp.Wi.weight,2304,768,768,153.42440795898438,30.921297073364258,24.619176864624023,3090.15673828125,559.3479614257812,33.5084228515625
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,adamw,0.layers.10.attn.Wqkv.weight,2304,768,768,151.8394775390625,41.424129486083984,13.435771942138672,2914.94873046875,536.398193359375,48.77549362182617
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,adamw,0.layers.10.mlp.Wi.weight,2304,768,768,156.1918487548828,43.55897521972656,12.857645988464355,3114.337646484375,558.97705078125,95.77674865722656
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,adamw,0.layers.21.attn.Wqkv.weight,2304,768,768,136.25650024414062,34.67658233642578,15.439806938171387,2340.3037109375,475.1553955078125,56.53687286376953
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,adamw,0.layers.21.mlp.Wi.weight,2304,768,768,153.19473266601562,54.09878158569336,8.018860816955566,1992.148193359375,377.7610168457031,249.0234832763672
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,muon,0.layers.0.attn.Wqkv.weight,2304,768,768,81.94371795654297,3.790076971054077,467.4501037597656,2227.267578125,752.0850830078125,1086.91845703125
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,muon,0.layers.0.mlp.Wi.weight,2304,768,768,153.43190002441406,7.021754741668701,477.46337890625,4179.4853515625,754.290283203125,20.477493286132812
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,muon,0.layers.10.attn.Wqkv.weight,2304,768,768,151.84835815429688,6.915262222290039,482.1729736328125,4136.93505859375,754.4531860351562,10.787981033325195
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,muon,0.layers.10.mlp.Wi.weight,2304,768,768,156.20018005371094,7.124996185302734,480.6110534667969,4255.0244140625,754.362548828125,12.165619850158691
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,muon,0.layers.21.attn.Wqkv.weight,2304,768,768,136.26278686523438,7.3746418952941895,341.4072265625,3470.931640625,692.2416381835938,11.573503494262695
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,muon,0.layers.21.mlp.Wi.weight,2304,768,768,153.19752502441406,19.062374114990234,64.58765411376953,2174.62548828125,306.81060791015625,83.61918640136719
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,normuon,0.layers.0.attn.Wqkv.weight,2304,768,768,81.94364166259766,4.281103610992432,366.3692626953125,2207.929931640625,745.263671875,1213.6492919921875
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,normuon,0.layers.0.mlp.Wi.weight,2304,768,768,153.43035888671875,8.044984817504883,363.72418212890625,4148.1279296875,748.4588623046875,23.275571823120117
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,normuon,0.layers.10.attn.Wqkv.weight,2304,768,768,151.8458251953125,8.081799507141113,353.0121154785156,4088.0576171875,745.3109130859375,13.198431968688965
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,normuon,0.layers.10.mlp.Wi.weight,2304,768,768,156.19810485839844,8.519476890563965,336.1441955566406,4208.560546875,745.9801025390625,14.496819496154785
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,normuon,0.layers.21.attn.Wqkv.weight,2304,768,768,136.26087951660156,14.695523262023926,85.97502899169922,3264.2646484375,655.5640869140625,19.54228401184082
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,normuon,0.layers.21.mlp.Wi.weight,2304,768,768,153.19862365722656,21.737401962280273,49.67003631591797,2169.2158203125,316.97454833984375,69.36869049072266
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,adamw,0.layers.0.attn.Wqkv.weight,2304,768,768,81.93153381347656,17.63495635986328,21.585065841674805,1612.816650390625,549.004638671875,60.51441955566406
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,adamw,0.layers.0.mlp.Wi.weight,2304,768,768,153.4149932861328,36.68815231323242,17.485736846923828,3031.763671875,553.8369140625,38.97685623168945
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,1,0.2,782,dense/adamw-lr1e-5/checkpoint-782,adamw,0.layers.10.attn.Wqkv.weight,2304,768,768,151.8275604248047,40.46259689331055,14.079710960388184,2893.873779296875,535.0568237304688,46.32979202270508
